Lucid Air Dream Edition R,685
Lucid Air Grand Touring,665
Lucid Air Dream Edition P,645
Mercedes EQS 450+,640
Mercedes EQS 450 4MATIC,615
Mercedes EQS 500 4MATIC,605
Mercedes EQS 580 4MATIC,605
Tesla Model S Dual Motor,570
Mercedes EQS AMG 53 4MATIC+,565
Lucid Air Pure,560
Lucid Air Touring,550
Tesla Model S Plaid,550
Mercedes EQE 350+,525
Audi Q8 e-tron Sportback 55 quattro,525
VinFast VF 9 Extended Range,520
Lotus Eletre,520
Mercedes EQE 300,515
Mercedes EQE 350,515
BMW i7 xDrive60,510
Fisker Ocean Extreme,510
Fisker Ocean One,510
Fisker Ocean Ultra,505
BMW iX xDrive50,505
NIO ET7 100 kWh,505
XPENG P7 RWD Long Range,500
Mercedes EQE 350 4MATIC,500
Mercedes EQE 500 4MATIC,500
Mercedes EQS SUV 450+,495
Audi Q8 e-tron 55 quattro,495
NIO ET5 100 kWh,495
Polestar 3 Long Range Dual motor,490
Mercedes EQS SUV 500 4MATIC,485
BMW iX M60,485
Tesla Model 3 Long Range Dual Motor,485
Mercedes EQE AMG 43 4MATIC,485
Mercedes EQS SUV 450 4MATIC,485
Mercedes EQS SUV 580 4MATIC,485
Mercedes EQE AMG 53 4MATIC+,480
Porsche Taycan Plus,475
Hyundai IONIQ 6 Long Range 2WD,475
XPENG P7 AWD Performance,470
XPENG G9 RWD Long Range,470
Tesla Model X Dual Motor,470
Polestar 3 Long Range Performance,470
Mercedes EQE SUV 350+,470
BMW i4 eDrive40,470
Audi SQ8 e-tron Sportback,470
XPENG P7 Wing Edition,465
BYD HAN,465
Tesla Model 3 Performance,460
Porsche Taycan 4S Plus,460
Tesla Model X Plaid,455
Ford Mustang Mach-E ER RWD,455
Mercedes EQE SUV 350 4MATIC,455
Mercedes EQE SUV 500 4MATIC,455
Rolls-Royce Spectre,455
Volvo EX90 Twin Motor,455
Porsche Taycan GTS,450
Lotus Eletre R,450
CUPRA Born 170 kW - 77 kWh,450
Volkswagen ID.3 Pro S - 4 Seats,450
Nissan Ariya 87kWh,445
Porsche Taycan Plus Sport Turismo,445
Skoda Enyaq Coupe iV 80,445
Audi SQ8 e-tron,445
Polestar 2 Long Range Single Motor,440
XPENG G9 AWD Long Range,440
Genesis G80 Electrified Luxury,440
Hyundai IONIQ 6 Long Range AWD,440
Ford Mustang Mach-E ER AWD,440
Audi Q8 e-tron Sportback 50 quattro,440
Volvo EX90 Twin Motor Performance,440
Tesla Model Y Long Range Dual Motor,435
Mercedes EQE SUV AMG 43 4MATIC,435
BMW i4 M50,435
Volkswagen ID.5 Pro,430
Volkswagen ID.5 Pro Performance,430
Porsche Taycan 4S Plus Sport Turismo,430
Skoda Enyaq Coupe iV 80x,430
NIO EL7 100 kWh,430
Maserati GranTurismo Folgore,425
VinFast VF 8 Eco Extended Range,425
VinFast VF 8 Plus Extended Range,425
Porsche Taycan GTS Sport Turismo,425
Porsche Taycan 4S Cross Turismo,425
Porsche Taycan 4 Cross Turismo,425
Ford Mustang Mach-E GT,425
Mercedes EQE SUV AMG 53 4MATIC+,425
Audi Q4 Sportback e-tron 40,425
Skoda Enyaq iV 80,420
Nissan Ariya e-4ORCE 87kWh,420
Polestar 2 Long Range Dual Motor,420
Audi e-tron GT quattro,420
Tesla Model Y Performance,415
Porsche Taycan Turbo,415
Audi Q8 e-tron 50 quattro,415
Polestar 2 Long Range Performance,410
Volkswagen ID.4 Pro Performance,410
Volkswagen ID.4 Pro,410
Porsche Taycan,410
Kia EV6 Long Range 2WD,410
VinFast VF 8 Eco Standard Range,405
Volkswagen ID.5 GTX,405
Porsche Taycan Turbo Sport Turismo,405
Skoda Enyaq Coupe iV RS,405
Audi e-tron GT RS,405
Volkswagen ID.4 Pro 4MOTION,405
Audi Q4 e-tron 40,405
Skoda Enyaq iV 80x,400
Volvo C40 Recharge Single Motor ER,400
VinFast VF 8 Plus Standard Range,400
VinFast VF 9 Standard Range,400
Volkswagen ID.4 GTX,400
Hyundai Kona Electric 65 kWh,400
Porsche Taycan Turbo S,400
Porsche Taycan Turbo Cross Turismo,400
Audi Q4 Sportback e-tron 45 quattro,400
Kia EV6 Long Range AWD,400
Audi Q4 Sportback e-tron 50 quattro,400
NIO ET7 75 kWh,400
BMW i4 eDrive35,400
Porsche Taycan Turbo S Sport Turismo,395
Hyundai Kona Electric 64 kWh,395
Porsche Taycan 4S,395
NIO ET5 75 kWh,395
Skoda Enyaq iV RS,390
Volvo C40 Recharge Twin Motor,390
Genesis GV60 Premium,390
Hyundai IONIQ 5 Long Range 2WD,390
Volvo XC40 Recharge Single Motor ER,385
Polestar 2 Standard Range Single Motor,385
Hyundai IONIQ 5 Long Range AWD,385
Porsche Taycan Turbo S Cross Turismo,385
Audi Q4 e-tron 50 quattro,385
Audi Q4 e-tron 45 quattro,385
BMW iX3,385
Volvo XC40 Recharge Twin Motor,380
Tesla Model 3,380
Jaguar I-Pace EV400,380
Porsche Taycan Sport Turismo,380
Genesis GV60 Sport,380
Kia Niro EV,380
Fisker Ocean Sport,380
XPENG G9 RWD Standard Range,375
Mercedes EQA 250+,375
Mercedes EQC 400 4MATIC,370
Porsche Taycan 4S Sport Turismo,370
Kia EV6 GT,370
Kia e-Soul 64 kWh,370
MG ZS EV Long Range,365
Renault Megane E-Tech EV60 130hp,365
Genesis GV60 Sport Plus,365
MG MG4 Electric 64 kWh,365
Mercedes EQB 250+,365
Hyundai IONIQ 6 Standard Range 2WD,360
BMW iX xDrive40,360
Renault Megane E-Tech EV60 220hp,360
Mercedes EQA 250,355
BMW iX1 xDrive30,355
Hongqi E-HS9 99 kWh,355
Ford Mustang Mach-E SR RWD,355
Smart #1,350
Genesis GV70 Electrified Sport,350
Mercedes EQA 300 4MATIC,350
Mercedes EQA 350 4MATIC,350
Aiways U6,350
CUPRA Born 150 kW - 58 kWh,350
BYD TANG,350
Volkswagen ID.3 Pro Performance,350
Volvo C40 Recharge Single Motor,345
Mercedes EQB 250,345
Tesla Model Y,345
Ford Mustang Mach-E SR AWD,345
CUPRA Born 170 kW - 58 kWh,345
ORA Funky Cat 63 kWh,340
Nissan Leaf e+,340
NIO EL7 75 kWh,340
Volvo XC40 Recharge Single Motor,335
Mercedes EQB 300 4MATIC,335
Toyota bZ4X FWD,335
Skoda Enyaq Coupe iV 60,335
MG MG5 Electric Long Range,335
Smart #1 Brabus,335
Mercedes EQB 350 4MATIC,335
MG Marvel R,335
ORA Funky Cat GT,330
Toyota bZ4X AWD,330
Volkswagen ID. Buzz Pro,330
MG Marvel R Performance,330
Skoda Enyaq iV 60,325
Nissan Ariya 63kWh,320
Subaru Solterra AWD,320
BYD ATTO 3,320
Renault Zoe ZE50 R110,315
Aiways U5,315
Opel Astra Electric,310
Mercedes eVito Tourer Long 90 kWh,310
Lexus RZ 450e,310
Renault Zoe ZE50 R135,310
Peugeot e-308,310
Mercedes EQV 300 Extra-Long,305
Mercedes eVito Tourer Extra-Long 90 kWh,305
Kia EV6 Standard Range 2WD,305
Hongqi E-HS9 84 kWh,305
Mercedes EQV 300 Long,305
Opel Astra Sports Tourer Electric,300
Jeep Avenger Electric,300
Hyundai Kona Electric 48 kWh,300
MG MG4 Electric 51 kWh,300
Peugeot e-308 SW,300
DS 3 E-Tense,300
Jeep Avenger Electric 1st Edition,295
Audi Q4 Sportback e-tron 35,295
Hyundai IONIQ 5 Standard Range 2WD,295
SsangYong Korando e-Motion,290
Peugeot e-208,285
Opel Corsa-e,285
Volkswagen ID.4 Pure Performance,285
Audi Q4 e-tron 35,285
Volkswagen ID.4 Pure,285
CUPRA Born 110 kW - 45 kWh,275
MG ZS EV Standard Range,270
Citroen e-C4,265
